competitor,date,source,title,content,category,source_url,collected_at,item_id
Sohu News,2026-07-25,Apple App Store,App Store positioning snapshot · v7.5.60,【24小时快讯+实时热榜】 全域新闻实时报道，新鲜消息快速、准确获取 新闻热榜实时更新，迅速了解当下热点 【畅所欲言 互动讨论】 “时间线”着力打造一个以新鲜及时的事件点评为核心的短内容社区。搜狐各领域主编已入驻“时间线”，紧跟热点新闻，各抒己见，让新闻更加有品有料。 【智能推荐】 基于相关、多样化和用户兴趣点，带来富有新鲜感的新闻推荐。 -------------------------------------- 【联系我们】 若您在使用过程中，有任何问题、建议，欢迎随时通过以下几种官方渠道反馈，我们会认真聆听每一位用户的声音： 搜狐新闻APP：打开APP→【我】/→【意见反馈】 新浪微博/微信公众号/抖音：@搜狐新闻客户端 快手：@搜狐新闻APP,Brand Positioning,https://apps.apple.com/cn/app/%E6%90%9C%E7%8B%90%E6%96%B0%E9%97%BB-%E5%87%86%E7%A1%AE%E5%8F%AF%E9%9D%A0/id436957087?uo=4,2026-07-25,appstore:436957087:positioning:fbcd3514e209e91f
Sohu News,2026-07-25,Apple App Store,App Store rating snapshot · v7.5.60,"Version 7.5.60 has an App Store rating of 4.73/5 from 81,019 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E6%90%9C%E7%8B%90%E6%96%B0%E9%97%BB-%E5%87%86%E7%A1%AE%E5%8F%AF%E9%9D%A0/id436957087?uo=4,2026-07-25,appstore:436957087:rating:30a51e3419dd512f
Tencent News,2026-07-25,Apple App Store,App Store positioning snapshot · v7.9.93,"腾讯新闻是腾讯公司精心打造的7x24小时全方位资讯应用，提供高效、优质的精品资讯服务。在这里，你可以快速获取重大突发热门的新闻资讯，新闻出品的独家内容，同时可参与问答，直播，评论等多种互动，全方位了解新闻动态。 产品特色： -【独家内容】众多独家优质栏目，持续输出深度精品内容。 -《新闻哥》麻辣点评，为网友们提供全年无休的精神食粮。 -《谷雨实验室》关注普通人，展示平凡生命的厚度和韧性。 - 多个工作室的优质出品内容获国家广播电视总局优秀国产纪录片奖项。 -【问答】多元视角看新闻，从热门资讯到好问题好回答，从优质创作者到大咖提问。用户可以浏览与参与科技财经、体育娱乐、生活文化等多领域热门问题。 -【直播】乐享NBA、中超、F1、男篮世界杯、LPL、KPL等多类重大赛事直播，支持边看直播边聊天，更有神秘娱乐嘉宾惊喜互动。 -【订阅】近千家优质媒体，订阅丰富阅读内容。更有精心挑选的会员专栏供用户选择。 -【车载互联】 现已支持CarPlay车载收听，驾乘路上，新闻随行，获悉天下事。 意见反馈： - 软件反馈：设置 - 意见反馈 - 官方网站：http://www.qq.com - 微博：@腾讯新闻 【腾讯视频VIP自动订阅服务说明】 1.订阅服务：腾讯视频VIP连续包月（1个月）、腾讯视频VIP连续包季（3个月）、腾讯视频VIP连续包年（12个月） 2.订阅价格：连续包月产品为25元/月，连续包季产品为68元/季，连续包年产品为238元/年 3.自动续费：每个计费周期到期前24小时内，将自动在iTunes账号扣费，并延长对应订阅服务的会员时长 4.关闭服务：您可以在苹果手机“设置” --> 进入“iTunes Store 与 App Store”-->点击 “Apple ID”，选择""查看Apple ID""，进入""账户设置""页面，点击“订阅”，管理自动订阅服务，如需取消，每个计费周期结束前24小时关闭即可，到期前24小时内则不再扣费 5.本服务不含免费试用时间，订阅成功立即扣费并生效 6.腾讯视频VIP会员服务协议： https://film.qq.com/weixin/term.html 7.隐私协议：https://privacy.qq.com/document/priview/3fab9c7fc1424ebda42c3ce488322c8a",Brand Positioning,https://apps.apple.com/cn/app/%E8%85%BE%E8%AE%AF%E6%96%B0%E9%97%BB/id399363156?uo=4,2026-07-25,appstore:399363156:positioning:b6958d8bb8c24378
Tencent News,2026-07-25,Apple App Store,App Store rating snapshot · v7.9.93,"Version 7.9.93 has an App Store rating of 4.02/5 from 353,015 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E8%85%BE%E8%AE%AF%E6%96%B0%E9%97%BB/id399363156?uo=4,2026-07-25,appstore:399363156:rating:08da960eca0dc905
Toutiao,2026-07-25,Apple App Store,App Store positioning snapshot · v17.7.0,今日头条，官方推荐精品应用，单用户使用时长超过76分钟 近亿网友与你一起在头条！ 热点资讯应有尽有 — 智能算法推荐你感兴趣的信息、无数明星大V在这里跟你互动； 人人都是原创作者 — 发布自己的微头条、与千万网友在问答区参与热点讨论； 发现生活记录生活 — 有全网精彩无广告短视频，也有草根生活喊麦达人原创小视频； 专属领域满足个性 — 分类连载小说漫画超快更新，足球美妆全部覆盖； 今日头条，一款越用越懂你的资讯客户端 基于机器学习的个性化资讯推荐引擎，5 秒算出你的兴趣，每日 1000 多位工程师精心优化算法，只为每一次推荐都更加精准，让阅读更加有用高效。 【发布专属微头条】 上传发布独家内容，你也可以上头条！ 超多明星大V入驻，关注一手动态，与偶像互动升级 【新鲜短视频看不停】 影视搞笑娱乐游戏生活...覆盖全网千万精彩短视频 无广告省流量，无论热点冷门一键看过瘾 【丰富频道 你要的都在这里】 海量小说阅读，超清漫画漫迷社区 一手体育新闻 热辣赛事点评 【火爆问答区】 为你推荐更精确的内容，参与优质内容创作，讨论热点话题 “所有人问所有人，所有人答所有人” 【个性化内容支持收藏】 80万+头条号网罗所有精彩资讯，有内容有观点有时效 心仪内容一键收藏，历史记录搜索无压力 ====== 来自用户的好评 ====== @爱因斯煎蛋：“每天超多短视频可以看，在地铁上看新闻和视频都不用花流量简直太棒！推荐给了爸妈和朋友，他们天天在上面看汽车、食谱类的内容，直接看推荐，跟我一样变成了忠实用户。” @gaodazhizi：“终于可以发自己的头条内容了，这就是我选择头条不用其它客户端的原因。跟同学们加了关注，我的新闻也可以上他们的头条了！” @鸣杨：“本来作为漫迷 有时候看看漫画 追追小说，结果居然在视频频道还发现了美妆教学，现在追着短视频看，还把男朋友拉进来他看球赛和直播，我看短视频。继续加油” @月月楠妹：“我喜欢的明星竟然都入驻了，赵又廷 baby 林宥嘉..天啊，在头条里还可以看到他们的动态，给他们留言等，头条已经变成我心里最好用的资讯App啦~ ” @联系头条 -软件反馈：我的-用户反馈 -客服反馈：请打开APP，前往“我的->用户反馈”进行反馈 -今日头条官网：toutiao.com -头条号自媒体平台：mp.toutiao.com -官方合作：BD@toutiao.com -头条招聘：HR@toutiao.com 自动续期订阅说明 自动续期头条超级会员 订阅周期：1个月(连续包月产品)，3个月(连续包季产品)，12个月(连续包年产品)。 订阅价格：连续包月产品每月19元，连续包季产品每季53元，连续包年产品每年198元。部分用户可能享受首月优惠，每个 Apple 账号仅限享受一次优惠。 付款：用户确认购买并付款后记入iTunes账户 续订：苹果iTunes账户会在到期前24小时内扣费，扣费成功后订阅周期顺延一个订阅周期 取消续订：如需取消续订，请在当前订阅周期到期前24小时以前，手动在iTunes/Apple ID设置管理中关闭自动续订功能 隐私政策：https://www.toutiao.com/privacy_protection/ 用户协议：https://www.toutiao.com/user_agreement/ 会员服务协议：https,Brand Positioning,https://apps.apple.com/cn/app/%E4%BB%8A%E6%97%A5%E5%A4%B4%E6%9D%A1/id529092160?uo=4,2026-07-25,appstore:529092160:positioning:638c35ff933c6464
Toutiao,2026-07-25,Apple App Store,App Store rating snapshot · v17.7.0,"Version 17.7.0 has an App Store rating of 4.76/5 from 2,804,590 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E4%BB%8A%E6%97%A5%E5%A4%B4%E6%9D%A1/id529092160?uo=4,2026-07-25,appstore:529092160:rating:757488b313e375f5
Toutiao,2026-07-22,Apple App Store,Version 17.7.0 release notes,修复了已知问题，提升了app的稳定性,Product Feature,https://apps.apple.com/cn/app/%E4%BB%8A%E6%97%A5%E5%A4%B4%E6%9D%A1/id529092160?uo=4,2026-07-25,appstore:529092160:release:17.7.0
Tencent News,2026-07-18,Apple App Store,Version 7.9.93 release notes,- 性能优化，体验更流畅。,Product Feature,https://apps.apple.com/cn/app/%E8%85%BE%E8%AE%AF%E6%96%B0%E9%97%BB/id399363156?uo=4,2026-07-25,appstore:399363156:release:7.9.93
Sohu News,2026-07-13,Apple App Store,Version 7.5.60 release notes,【狐小新】对话跟随字号调节，阅读更舒适 【仅浏览模式】优化使用体验，浏览资讯更顺畅 【优化】修复已知问题，提升用户体验 【用户反馈】使用中遇到问题或有任何建议，可在【我-设置-意见反馈】中提给客服小秘书,Product Feature,https://apps.apple.com/cn/app/%E6%90%9C%E7%8B%90%E6%96%B0%E9%97%BB-%E5%87%86%E7%A1%AE%E5%8F%AF%E9%9D%A0/id436957087?uo=4,2026-07-25,appstore:436957087:release:7.5.60
NetEase News,2026-07-08,Apple App Store,Version 117.8 release notes,优化了部分功能，提升了用户体验,Product Feature,https://apps.apple.com/cn/app/%E7%BD%91%E6%98%93%E6%96%B0%E9%97%BB-%E5%A4%B4%E6%9D%A1%E6%96%B0%E9%97%BB%E8%A7%86%E9%A2%91%E8%B5%84%E8%AE%AF%E5%B9%B3%E5%8F%B0/id425349261?uo=4,2026-07-25,appstore:425349261:release:117.8
